#target name         accession query name           accession mdl mdl from   mdl to seq from   seq to strand trunc pass   gc  bias  score   E-value inc description of target
#------------------- --------- -------------------- --------- --- -------- -------- -------- -------- ------ ----- ---- ---- ----- ------ --------- --- ---------------------
SRR14629542_Contig-1  -         Hammerhead_3         RF00008    cm        1       58     2240     2297      +    no    1 0.55   0.0   48.9     6e-10 !   -
SRR2087133_Contig-2   -         Hammerhead_3         RF00008    cm        1       58     2420     2363      -    no    1 0.55   0.0   48.1   9.7e-10 !   -
SRR19352693_Contig-1  -         Hammerhead_3         RF00008    cm        1       58     1208     1151      -    no    1 0.47   0.0   47.6   1.4e-09 !   -
SRR1609854_Contig-4   -         Hammerhead_3         RF00008    cm        1       58     1310     1253      -    no    1 0.50   0.0   47.6   1.4e-09 !   -
SRR9929233_Contig-5   -         Hammerhead_3         RF00008    cm        1       58      149       91      -    no    1 0.63   0.0   47.5   1.5e-09 !   -
SRR11658517_Contig-1  -         Hammerhead_3         RF00008    cm        1       58     3853     3912      +    no    1 0.52   0.0   47.5   1.5e-09 !   -
SRR19352689_Contig-3  -         Hammerhead_3         RF00008    cm        1       58     2494     2552      +    no    1 0.51   0.0   47.4   1.5e-09 !   -
SRR19257112_Contig-2  -         Hammerhead_3         RF00008    cm        1       58     1251     1194      -    no    1 0.59   0.0   47.4   1.6e-09 !   -
SRR19345756_Contig-1  -         Hammerhead_3         RF00008    cm        1       58      493      436      -    no    1 0.60   0.0   47.1   1.9e-09 !   -
SRR11617833_Contig-1  -         Hammerhead_3         RF00008    cm        1       58     3755     3812      +    no    1 0.55   0.0   47.0     2e-09 !   -
SRR16887726_Contig-14 -         Hammerhead_3         RF00008    cm        1       58      380      323      -    no    1 0.55   0.0   46.7   2.5e-09 !   -
SRR16887726_Contig-8  -         Hammerhead_3         RF00008    cm        1       58      269      212      -    no    1 0.50   0.0   46.6   2.6e-09 !   -
SRR9644508_Contig-1   -         Hammerhead_3         RF00008    cm        1       58     3119     3062      -    no    1 0.60   0.0   46.4   2.9e-09 !   -
SRR10040556_Contig-1  -         Hammerhead_3         RF00008    cm        1       58     1249     1192      -    no    1 0.53   0.0   46.3   3.1e-09 !   -
SRR16887727_Contig-5  -         Hammerhead_3         RF00008    cm        1       58     4267     4324      +    no    1 0.53   0.0   46.2   3.3e-09 !   -
SRR5138297_Contig-4   -         Hammerhead_3         RF00008    cm        1       58     1398     1341      -    no    1 0.59   0.0   46.2   3.3e-09 !   -
SRR12351474_Contig-1  -         Hammerhead_3         RF00008    cm        1       58     2429     2486      +    no    1 0.50   0.0   46.1   3.5e-09 !   -
SRR9644507_Contig-1   -         Hammerhead_3         RF00008    cm        1       58     3694     3751      +    no    1 0.59   0.0   46.0   3.8e-09 !   -
SRR16887726_Contig-12 -         Hammerhead_3         RF00008    cm        1       58     2759     2816      +    no    1 0.59   0.0   45.9   4.1e-09 !   -
SRR8640669_Contig-2   -         Hammerhead_3         RF00008    cm        1       58     3684     3741      +    no    1 0.62   0.0   45.7   4.5e-09 !   -
SRR9652129_Contig-2   -         Hammerhead_3         RF00008    cm        1       58     4358     4415      +    no    1 0.52   0.0   45.6   4.8e-09 !   -
SRR12351469_Contig-1  -         Hammerhead_3         RF00008    cm        1       58     3535     3480      -    no    1 0.54   0.0   45.1   6.8e-09 !   -
SRR8239998_Contig-1   -         Hammerhead_3         RF00008    cm        1       58     1450     1393      -    no    1 0.53   0.0   44.7   8.6e-09 !   -
SRR16887726_Contig-16 -         Hammerhead_3         RF00008    cm        1       58      378      323      -    no    1 0.54   0.0   44.5   9.8e-09 !   -
SRR10040559_Contig-1  -         Hammerhead_3         RF00008    cm        1       58     3509     3566      +    no    1 0.53   0.0   44.4     1e-08 !   -
SRR13094913_Contig-4  -         Hammerhead_3         RF00008    cm        1       58     3893     3836      -    no    1 0.55   0.0   44.2   1.2e-08 !   -
SRR17034670_Contig-1  -         Hammerhead_3         RF00008    cm        1       58     2605     2662      +    no    1 0.48   0.0   44.2   1.3e-08 !   -
SRR19257110_Contig-1  -         Hammerhead_3         RF00008    cm        1       58     1354     1297      -    no    1 0.59   0.0   44.1   1.3e-08 !   -
SRR6310063_Contig-1   -         Hammerhead_3         RF00008    cm        1       58     3141     3198      +    no    1 0.59   0.0   44.1   1.3e-08 !   -
SRR19352688_Contig-1  -         Hammerhead_3         RF00008    cm        1       58     3581     3638      +    no    1 0.53   0.0   43.9   1.4e-08 !   -
SRR5493403_Contig-1   -         Hammerhead_3         RF00008    cm        1       58     3944     3887      -    no    1 0.57   0.0   43.8   1.6e-08 !   -
SRR11445743_Contig-1  -         Hammerhead_3         RF00008    cm        1       58      232      179      -    no    1 0.44   0.0   43.5   1.9e-08 !   -
SRR19352688_Contig-3  -         Hammerhead_3         RF00008    cm        1       58     3864     3921      +    no    1 0.47   0.0   43.3   2.1e-08 !   -
SRR8640669_Contig-3   -         Hammerhead_3         RF00008    cm        1       58      109      166      +    no    1 0.53   0.0   43.1   2.4e-08 !   -
SRR1609854_Contig-1   -         Hammerhead_3         RF00008    cm        1       58     1506     1451      -    no    1 0.57   0.0   43.1   2.4e-08 !   -
SRR1609855_Contig-3   -         Hammerhead_3         RF00008    cm        1       58     1292     1237      -    no    1 0.57   0.0   43.1   2.4e-08 !   -
SRR16887726_Contig-2  -         Hammerhead_3         RF00008    cm        1       58      373      430      +    no    1 0.59   0.0   43.0   2.6e-08 !   -
SRR15383660_Contig-1  -         Hammerhead_3         RF00008    cm        1       58     1012     1069      +    no    1 0.47   0.0   42.9   2.8e-08 !   -
SRR9943992_Contig-1   -         Hammerhead_3         RF00008    cm        1       58     1151     1093      -    no    1 0.59   0.0   42.8     3e-08 !   -
SRR16887727_Contig-16 -         Hammerhead_3         RF00008    cm        1       58     2307     2364      +    no    1 0.52   0.0   42.3   4.1e-08 !   -
SRR16887728_Contig-11 -         Hammerhead_3         RF00008    cm        1       58     2365     2422      +    no    1 0.53   0.0   42.3   4.1e-08 !   -
SRR19352694_Contig-1  -         Hammerhead_3         RF00008    cm        1       58     3572     3630      +    no    1 0.53   0.0   42.1   4.5e-08 !   -
SRR8246575_Contig-5   -         Hammerhead_3         RF00008    cm        1       58     1137     1082      -    no    1 0.46   0.0   42.0   4.8e-08 !   -
SRR3482282_Contig-1   -         Hammerhead_3         RF00008    cm        1       58     1040     1097      +    no    1 0.48   0.0   42.0   4.9e-08 !   -
SRR16887726_Contig-1  -         Hammerhead_3         RF00008    cm        1       58     4954     5009      +    no    1 0.55   0.0   42.0     5e-08 !   -
SRR1609854_Contig-2   -         Hammerhead_3         RF00008    cm        1       58     1315     1260      -    no    1 0.59   0.0   41.5   6.9e-08 !   -
SRR3485025_Contig-1   -         Hammerhead_3         RF00008    cm        1       58      270      213      -    no    1 0.57   0.0   41.4   7.2e-08 !   -
SRR9929233_Contig-2   -         Hammerhead_3         RF00008    cm        1       58     4007     3950      -    no    1 0.59   0.0   41.4   7.4e-08 !   -
SRR7791369_Contig-1   -         Hammerhead_3         RF00008    cm        1       58     4629     4572      -    no    1 0.50   0.0   41.2   8.2e-08 !   -
SRR5576795_Contig-1   -         Hammerhead_3         RF00008    cm        1       58     1272     1215      -    no    1 0.53   0.0   41.0   9.3e-08 !   -
SRR8529734_Contig-2   -         Hammerhead_3         RF00008    cm        1       58     1210     1267      +    no    1 0.64   0.0   41.0   9.4e-08 !   -
SRR8640669_Contig-4   -         Hammerhead_3         RF00008    cm        1       58     2225     2282      +    no    1 0.50   0.0   41.0   9.6e-08 !   -
SRR9652129_Contig-2   -         Hammerhead_3         RF00008    cm        1       58     4593     4536      -    no    1 0.50   0.0   40.8   1.1e-07 !   -
SRR13094913_Contig-3  -         Hammerhead_3         RF00008    cm        1       58      935      992      +    no    1 0.52   0.0   40.7   1.2e-07 !   -
SRR9937866_Contig-1   -         Hammerhead_3         RF00008    cm        1       58     1394     1451      +    no    1 0.52   0.0   40.5   1.3e-07 !   -
SRR5137210_Contig-1   -         Hammerhead_3         RF00008    cm        1       58     2979     3036      +    no    1 0.50   0.0   40.4   1.4e-07 !   -
SRR7694631_Contig-1   -         Hammerhead_3         RF00008    cm        1       58     4514     4569      +    no    1 0.52   0.0   40.3   1.5e-07 !   -
SRR16887726_Contig-2  -         Hammerhead_3         RF00008    cm        1       58      758      700      -    no    1 0.54   0.0   39.7   2.2e-07 !   -
SRR16887728_Contig-2  -         Hammerhead_3         RF00008    cm        1       58     2709     2767      +    no    1 0.54   0.0   39.7   2.2e-07 !   -
SRR9929233_Contig-3   -         Hammerhead_3         RF00008    cm        1       58     3338     3281      -    no    1 0.55   0.0   39.5   2.6e-07 !   -
SRR19345755_Contig-2  -         Hammerhead_3         RF00008    cm        1       58     1157     1214      +    no    1 0.52   0.0   39.4   2.7e-07 !   -
SRR19352695_Contig-6  -         Hammerhead_3         RF00008    cm        1       58     4491     4434      -    no    1 0.57   0.0   39.3   2.8e-07 !   -
SRR10040559_Contig-2  -         Hammerhead_3         RF00008    cm        1       58     2185     2240      +    no    1 0.55   0.0   38.7     4e-07 !   -
SRR19352696_Contig-4  -         Hammerhead_3         RF00008    cm        1       58     3643     3701      +    no    1 0.53   0.0   37.9   6.8e-07 !   -
SRR8246575_Contig-4   -         Hammerhead_3         RF00008    cm        1       58     3600     3657      +    no    1 0.53   0.0   37.5   8.7e-07 !   -
SRR19352696_Contig-1  -         Hammerhead_3         RF00008    cm        1       58     3752     3810      +    no    1 0.58   0.0   37.5   9.2e-07 !   -
SRR7791369_Contig-1   -         Hammerhead_3         RF00008    cm        1       58     4307     4364      +    no    1 0.60   0.0   37.4   9.8e-07 !   -
SRR16887726_Contig-4  -         Hammerhead_3         RF00008    cm        1       58     4898     4840      -    no    1 0.53   0.0   37.4   9.8e-07 !   -
SRR19352689_Contig-1  -         Hammerhead_3         RF00008    cm        1       58     4370     4428      +    no    1 0.53   0.0   37.0   1.2e-06 !   -
SRR19352697_Contig-4  -         Hammerhead_3         RF00008    cm        1       58     2900     2842      -    no    1 0.53   0.0   37.0   1.2e-06 !   -
SRR19352687_Contig-3  -         Hammerhead_3         RF00008    cm        1       58     4299     4357      +    no    1 0.53   0.0   37.0   1.2e-06 !   -
SRR19352686_Contig-3  -         Hammerhead_3         RF00008    cm        1       58      447      389      -    no    1 0.51   0.0   36.4   1.8e-06 !   -
SRR5487665_Contig-1   -         Hammerhead_3         RF00008    cm        1       58     2157     2100      -    no    1 0.52   0.0   36.1   2.3e-06 !   -
SRR896210_Contig-1    -         Hammerhead_3         RF00008    cm        1       58     2829     2886      +    no    1 0.59   0.0   35.5   3.2e-06 !   -
SRR6823445_Contig-1   -         Hammerhead_3         RF00008    cm        1       58     1191     1133      -    no    1 0.53   0.0   35.4   3.4e-06 !   -
SRR7694632_Contig-1   -         Hammerhead_3         RF00008    cm        2       57     2439     2384      -    no    1 0.50   0.0   35.3   3.7e-06 !   -
SRR11617831_Contig-1  -         Hammerhead_3         RF00008    cm        6       53     4256     4209      -    no    1 0.60   0.0   35.2   3.9e-06 !   -
SRR2087133_Contig-1   -         Hammerhead_3         RF00008    cm        1       58     1046     1103      +    no    1 0.53   0.0   34.8   5.2e-06 !   -
SRR17286186_Contig-1  -         Hammerhead_3         RF00008    cm        1       58     1698     1763      +    no    1 0.53   0.0   34.5   6.3e-06 !   -
SRR11445751_Contig-1  -         Hammerhead_3         RF00008    cm        1       58     2781     2837      +    no    1 0.47   0.0   34.2   7.5e-06 !   -
SRR17286187_Contig-1  -         Hammerhead_3         RF00008    cm        1       58      790      725      -    no    1 0.53   0.0   34.1     8e-06 !   -
SRR2087133_Contig-1   -         Hammerhead_3         RF00008    cm        1       58     1272     1215      -    no    1 0.59   0.0   33.3   1.3e-05 !   -
SRR3929448_Contig-1   -         Hammerhead_3         RF00008    cm        1       58     2397     2340      -    no    1 0.50   0.0   33.0   1.6e-05 !   -
SRR9937816_Contig-2   -         Hammerhead_3         RF00008    cm        1       58     3936     3879      -    no    1 0.52   0.0   32.3   2.6e-05 !   -
SRR11561614_Contig-1  -         Hammerhead_3         RF00008    cm        1       58     1050     1107      +    no    1 0.52   0.0   32.1   2.9e-05 !   -
SRR6823454_Contig-1   -         Hammerhead_3         RF00008    cm        1       58      504      448      -    no    1 0.44   0.0   31.8   3.5e-05 !   -
SRR11561614_Contig-1  -         Hammerhead_3         RF00008    cm        1       58     1310     1253      -    no    1 0.50   0.0   31.0     6e-05 !   -
SRR15001045_Contig-1  -         Hammerhead_3         RF00008    cm        1       58      286      230      -    no    1 0.53   0.0   30.8   6.6e-05 !   -
SRR11617831_Contig-1  -         Hammerhead_3         RF00008    cm        1       58     3806     3863      +    no    1 0.64   0.0   30.1    0.0001 !   -
SRR12605071_Contig-2  -         Hammerhead_3         RF00008    cm        1       58     1360     1304      -    no    1 0.40   0.0   29.9   0.00012 !   -
SRR10492779_Contig-1  -         Hammerhead_3         RF00008    cm        1       58     2404     2351      -    no    1 0.50   0.0   29.2   0.00018 !   -
SRR10492780_Contig-1  -         Hammerhead_3         RF00008    cm        1       58     1029     1082      +    no    1 0.50   0.0   29.2   0.00018 !   -
SRR10492781_Contig-1  -         Hammerhead_3         RF00008    cm        1       58     2455     2508      +    no    1 0.50   0.0   29.2   0.00018 !   -
SRR16887727_Contig-2  -         Hammerhead_3         RF00008    cm        7       52     2350     2305      -    no    1 0.50   0.0   28.3   0.00034 !   -
SRR9943552_Contig-1   -         Hammerhead_3         RF00008    cm        1       58     2034     2090      +    no    1 0.58   0.0   27.4   0.00059 !   -
SRR9937816_Contig-4   -         Hammerhead_3         RF00008    cm        1       58     1188     1132      -    no    1 0.58   0.0   26.9   0.00083 !   -
SRR9937816_Contig-5   -         Hammerhead_3         RF00008    cm        2       57     3665     3611      -    no    1 0.49   0.0   26.1    0.0014 !   -
SRR16887725_Contig-2  -         Hammerhead_3         RF00008    cm        2       57     2212     2265      +    no    1 0.48   0.0   26.0    0.0015 !   -
SRR16887728_Contig-2  -         Hammerhead_3         RF00008    cm        1       58     3086     3035      -    no    1 0.58   0.0   25.9    0.0015 !   -
SRR19352691_Contig-10 -         Hammerhead_3         RF00008    cm        7       52      298      255      -    no    1 0.55   0.0   25.3    0.0023 !   -
SRR16887727_Contig-7  -         Hammerhead_3         RF00008    cm        7       52     4150     4193      +    no    1 0.43   0.0   24.6    0.0036 !   -
SRR13259820_Contig-2  -         Hammerhead_3         RF00008    cm        7       52     3773     3818      +    no    1 0.50   0.0   23.9    0.0057 !   -
SRR7694632_Contig-2  -         6S                   RF00013    cm        1      187     2204     2388      +    no    1 0.42   0.0   25.1    0.0022 !   -
SRR7694631_Contig-1  -         Histone3             RF00032    cm        1       46      748      703      -    no    1 0.48   0.0   24.0   0.00011 !   -
SRR6257327_Contig-1  -         HDV_ribozyme         RF00094    cm        1       91     4223     4141      -    no    1 0.59   0.0   32.4    0.0086 !   -
SRR16887726_Contig-28 -         mir-1                RF00103    cm        1       77      159       63      -    no    1 0.47   0.0   31.8   7.9e-05 !   -
SRR6310246_Contig-1  -         Hammerhead_1         RF00163    cm        1       46     3377     3331      -    no    1 0.57   0.0   27.1   0.00019 !   -
SRR19352691_Contig-1  -         Hairpin              RF00173    cm        1       52     4470     4523      +    no    1 0.44   0.0   48.1     2e-08 !   -
SRR9644508_Contig-1   -         Hairpin              RF00173    cm        6       52     2757     2804      +    no    1 0.54   0.0   41.4   8.2e-07 !   -
SRR9130473_Contig-1   -         Hairpin              RF00173    cm        1       52     4289     4342      +    no    1 0.48   0.0   39.6   2.2e-06 !   -
SRR7475541_Contig-1   -         Hairpin              RF00173    cm        1       52     4054     3999      -    no    1 0.43   0.0   39.4   2.4e-06 !   -
SRR1258115_Contig-1   -         Hairpin              RF00173    cm        1       52     2526     2474      -    no    1 0.45   0.0   38.5   4.1e-06 !   -
SRR5576795_Contig-1   -         Hairpin              RF00173    cm        1       52      873      928      +    no    1 0.52   0.0   38.4   4.1e-06 !   -
SRR7475541_Contig-2   -         Hairpin              RF00173    cm        1       52     4328     4379      +    no    1 0.48   0.0   38.1     5e-06 !   -
SRR4051856_Contig-1   -         Hairpin              RF00173    cm        1       52      949     1008      +    no    1 0.50   0.0   36.5   1.2e-05 !   -
SRR2087133_Contig-2   -         Hairpin              RF00173    cm        1       52     2045     2099      +    no    1 0.49   0.0   36.5   1.2e-05 !   -
SRR9943992_Contig-1   -         Hairpin              RF00173    cm        1       52      886      934      +    no    1 0.51   0.0   36.4   1.3e-05 !   -
SRR19352696_Contig-1  -         Hairpin              RF00173    cm        1       52     4197     4145      -    no    1 0.45   0.0   36.0   1.6e-05 !   -
SRR7852826_Contig-1   -         Hairpin              RF00173    cm        1       52       21       73      +    no    1 0.57   0.0   35.3   2.3e-05 !   -
SRR19352695_Contig-6  -         Hairpin              RF00173    cm        1       52     4238     4291      +    no    1 0.52   0.0   35.2   2.5e-05 !   -
SRR1693518_Contig-2   -         Hairpin              RF00173    cm        1       52     3898     3846      -    no    1 0.47   0.0   34.7   3.3e-05 !   -
SRR3318775_Contig-4   -         Hairpin              RF00173    cm        1       52       64      125      +    no    1 0.47   0.0   34.5   3.7e-05 !   -
SRR10040559_Contig-3  -         Hairpin              RF00173    cm        1       52      234      171      -    no    1 0.52   0.0   34.4   3.8e-05 !   -
SRR16887726_Contig-14 -         Hairpin              RF00173    cm        1       52       12       70      +    no    1 0.44   0.0   34.0   4.8e-05 !   -
SRR16887728_Contig-4  -         Hairpin              RF00173    cm        1       52     2632     2573      -    no    1 0.42   0.0   33.9   4.9e-05 !   -
SRR6942714_Contig-1   -         Hairpin              RF00173    cm        1       52      894      955      +    no    1 0.48   0.0   33.8   5.2e-05 !   -
SRR19352687_Contig-3  -         Hairpin              RF00173    cm        1       52     4763     4708      -    no    1 0.45   0.0   33.7   5.7e-05 !   -
SRR9929233_Contig-3   -         Hairpin              RF00173    cm        1       52     3019     3077      +    no    1 0.46   0.0   33.5   6.2e-05 !   -
SRR5146325_Contig-1   -         Hairpin              RF00173    cm        1       52      135      187      +    no    1 0.47   0.0   33.5   6.4e-05 !   -
SRR1812333_Contig-1   -         Hairpin              RF00173    cm        1       52     4440     4387      -    no    1 0.44   0.0   33.2   7.4e-05 !   -
SRR10040559_Contig-2  -         Hairpin              RF00173    cm        1       52     2454     2400      -    no    1 0.53   0.0   33.2   7.4e-05 !   -
SRR10040559_Contig-1  -         Hairpin              RF00173    cm        1       52     3770     3710      -    no    1 0.46   0.0   33.2   7.5e-05 !   -
SRR8246575_Contig-5   -         Hairpin              RF00173    cm        1       52      879      933      +    no    1 0.47   0.0   32.5   0.00011 !   -
SRR5138298_Contig-2   -         Hairpin              RF00173    cm        1       52      817      870      +    no    1 0.57   0.0   32.3   0.00012 !   -
SRR13259820_Contig-2  -         Hairpin              RF00173    cm        6       52     4272     4208      -    no    1 0.48   0.0   32.2   0.00013 !   -
SRR17286183_Contig-1  -         Hairpin              RF00173    cm        6       52      847      897      +    no    1 0.45   0.0   31.8   0.00016 !   -
SRR1609855_Contig-1   -         Hairpin              RF00173    cm        1       52     2147     2201      +    no    1 0.49   0.0   31.8   0.00016 !   -
SRR19352687_Contig-7  -         Hairpin              RF00173    cm        1       52      100       46      -    no    1 0.51   0.0   31.5   0.00019 !   -
SRR19352696_Contig-4  -         Hairpin              RF00173    cm        6       52     4063     4014      -    no    1 0.50   0.0   31.3   0.00021 !   -
SRR19257110_Contig-1  -         Hairpin              RF00173    cm        1       52      866      929      +    no    1 0.45   0.0   30.7    0.0003 !   -
SRR11658517_Contig-1  -         Hairpin              RF00173    cm        1       52     4094     4030      -    no    1 0.45   0.0   30.5   0.00033 !   -
SRR19257112_Contig-2  -         Hairpin              RF00173    cm        8       52      854      904      +    no    1 0.47   0.0   30.4   0.00035 !   -
SRR16887726_Contig-16 -         Hairpin              RF00173    cm        8       52       10       55      +    no    2 0.50   0.0   30.3   0.00036 !   -
SRR15182883_Contig-1  -         Hairpin              RF00173    cm        6       52     4570     4516      -    no    1 0.47   0.0   30.2   0.00039 !   -
SRR19352688_Contig-6  -         Hairpin              RF00173    cm        1       52      860      911      +    no    1 0.56   0.0   30.1    0.0004 !   -
SRR16887725_Contig-1  -         Hairpin              RF00173    cm        1       52     4763     4716      -    no    1 0.52   0.0   30.0   0.00042 !   -
SRR6310063_Contig-1   -         Hairpin              RF00173    cm        1       52     3624     3561      -    no    1 0.47   0.0   30.0   0.00044 !   -
SRR6188981_Contig-1   -         Hairpin              RF00173    cm        1       52     3484     3434      -    no    1 0.57   0.0   29.9   0.00045 !   -
SRR19352688_Contig-3  -         Hairpin              RF00173    cm        1       52     4278     4223      -    no    1 0.48   0.0   29.8   0.00049 !   -
SRR5140179_Contig-2   -         Hairpin              RF00173    cm        1       52     1690     1637      -    no    1 0.50   0.0   29.7    0.0005 !   -
SRR8529734_Contig-2   -         Hairpin              RF00173    cm        1       52     1509     1456      -    no    1 0.48   0.0   29.7    0.0005 !   -
SRR3318775_Contig-4   -         Hairpin              RF00173    cm        1       52      751      691      -    no    1 0.48   0.0   29.7   0.00053 !   -
SRR3318775_Contig-2   -         Hairpin              RF00173    cm        1       52     2061     2121      +    no    1 0.46   0.0   29.6   0.00054 !   -
SRR19352697_Contig-4  -         Hairpin              RF00173    cm        1       52     2449     2505      +    no    1 0.47   0.0   29.4   0.00059 !   -
SRR9929233_Contig-1   -         Hairpin              RF00173    cm        1       52     3485     3539      +    no    1 0.49   0.0   29.3   0.00062 !   -
SRR19345756_Contig-1  -         Hairpin              RF00173    cm        1       52      185      237      +    no    1 0.55   0.0   29.2   0.00067 !   -
SRR19352694_Contig-1  -         Hairpin              RF00173    cm        1       52     4033     3980      -    no    1 0.43   0.0   28.9   0.00079 !   -
SRR7475541_Contig-1   -         Hairpin              RF00173    cm        6       52     1120     1072      -    no    1 0.45   0.0   28.9    0.0008 !   -
SRR8246575_Contig-4   -         Hairpin              RF00173    cm        1       52     3901     3847      -    no    1 0.40   0.0   28.4     0.001 !   -
SRR19352686_Contig-3  -         Hairpin              RF00173    cm        1       52       27       81      +    no    1 0.45   0.0   28.4    0.0011 !   -
SRR7694631_Contig-1   -         Hairpin              RF00173    cm        1       52       59       10      -    no    1 0.48   0.0   28.0    0.0013 !   -
SRR19352689_Contig-1  -         Hairpin              RF00173    cm        1       52     4819     4764      -    no    1 0.46   0.0   27.9    0.0014 !   -
SRR9929233_Contig-2   -         Hairpin              RF00173    cm        1       52     3693     3747      +    no    1 0.49   0.0   27.9    0.0014 !   -
SRR17286183_Contig-1  -         Hairpin              RF00173    cm        1       52     1249     1199      -    no    1 0.49   0.0   27.4    0.0018 !   -
SRR12605071_Contig-1  -         Hairpin              RF00173    cm        1       52      590      537      -    no    1 0.54   0.0   27.3     0.002 !   -
SRR7694632_Contig-1   -         Hairpin              RF00173    cm        1       52     2142     2198      +    no    1 0.53   0.0   27.1    0.0021 !   -
SRR8529734_Contig-1   -         Hairpin              RF00173    cm        8       52     3912     3864      -    no    1 0.47   0.0   27.1    0.0021 !   -
SRR19352697_Contig-1  -         Hairpin              RF00173    cm        1       52       94      148      +    no    1 0.51   0.0   26.9    0.0024 !   -
SRR19345755_Contig-2  -         Hairpin              RF00173    cm        1       52     1428     1370      -    no    1 0.46   0.0   26.7    0.0027 !   -
SRR18270014_Contig-1  -         Hairpin              RF00173    cm        1       52      154      215      +    no    1 0.39   0.0   26.6    0.0029 !   -
SRR19352688_Contig-1  -         Hairpin              RF00173    cm        1       52     3975     3922      -    no    1 0.52   0.0   26.6    0.0029 !   -
SRR1609854_Contig-4   -         Hairpin              RF00173    cm        1       52     1064     1120      +    no    1 0.51   0.0   26.5    0.0029 !   -
SRR7475541_Contig-1   -         Hairpin              RF00173    cm        1       52     3619     3673      +    no    1 0.40   0.0   26.4    0.0031 !   -
SRR6310246_Contig-1   -         Hairpin              RF00173    cm        1       52     2898     2964      +    no    1 0.48   0.0   26.1    0.0037 !   -
SRR8526190_Contig-1   -         Hairpin              RF00173    cm        1       52     1474     1413      -    no    1 0.48   0.0   26.0    0.0039 !   -
SRR17930464_Contig-1  -         Hairpin              RF00173    cm        6       52     3649     3602      -    no    1 0.48   0.0   25.9    0.0043 !   -
SRR8640669_Contig-2   -         Hairpin              RF00173    cm        6       52     4014     3965      -    no    1 0.54   0.0   25.7    0.0046 !   -
SRR3318775_Contig-1   -         Hairpin              RF00173    cm        1       52     1613     1553      -    no    1 0.46   0.0   25.4    0.0053 !   -
SRR19352697_Contig-5  -         Hairpin              RF00173    cm        1       52     2219     2276      +    no    1 0.50   0.0   25.4    0.0056 !   -
DRR003996_Contig-1    -         Hairpin              RF00173    cm        1       52     2327     2387      +    no    1 0.48   0.0   25.2     0.006 !   -
SRR16887726_Contig-6  -         Hairpin              RF00173    cm        1       52      746      690      -    no    1 0.49   0.0   25.1    0.0064 !   -
SRR7475541_Contig-1   -         Hairpin              RF00173    cm        1       52      600      658      +    no    1 0.41   0.0   25.1    0.0065 !   -
SRR8246575_Contig-1   -         Hairpin              RF00173    cm        1       52     4419     4357      -    no    1 0.46   0.0   25.0     0.007 !   -
SRR5491302_Contig-1   -         Hairpin              RF00173    cm        1       52     1227     1166      -    no    1 0.50   0.0   24.6    0.0086 !   -
SRR8239998_Contig-1   -         Hairpin              RF00173    cm        1       52      980     1039      +    no    1 0.48   0.0   24.4    0.0096 !   -
SRR1609854_Contig-1   -         Hairpin              RF00173    cm        1       52     1151     1204      +    no    1 0.48   0.0   24.4    0.0098 !   -
