#SampleID	Metaphlan2_Analysis
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales	0.3117
k__Fungi|p__Chytridiomycota|c__Chytridiomycetes|o__Chytridiales	0.03869
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Cladosporiales	0.0258
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Coniochaetales	0.03224
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Coronophorales	0.07739
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Corticiales	0.01505
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Cystofilobasidiales	0.20852
k__Fungi|p__Basidiomycota|c__Dacrymycetes|o__Dacrymycetales	0.0043
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Diaporthales	0.25796
k__Fungi|p__Mucoromycota|c__Glomeromycetes|o__Diversisporales	0.08599
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideales	0.18702
k__Fungi|p__Mucoromycota|c__Endogonomycetes|o__Endogonales	0.00645
k__Fungi|p__Zoopagomycota|c__Entomophthoromycetes|o__Entomophthorales	0.07094
k__Fungi|p__Basidiomycota|c__Exobasidiomycetes|o__Entylomatales	0.0215
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Erysiphales	1.8831
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales	12.50242
k__Fungi|p__Basidiomycota|c__Exobasidiomycetes|o__Exobasidiales	0.0215
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Filobasidiales	0.0215
k__Fungi|p__Basidiomycota|c__Geminibasidiomycetes|o__Geminibasidiales	0.0043
k__Fungi|p__Basidiomycota|c__Exobasidiomycetes|o__Georgefischeriales	0.0043
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Gloeophyllales	0.08384
k__Fungi|p__Mucoromycota|c__Glomeromycetes|o__Glomerales	0.85771
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales	1.73263
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Gomphales	0.0043
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales	2.27004
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Hymenochaetales	0.21067
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales	10.63221
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Jaapiales	0.0129
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Jahnulales	0.0043
k__Fungi|p__Zoopagomycota|c__Kickxellomycetes|o__Kickxellales	0.0086
k__Fungi|p__Basidiomycota|c__Microbotryomycetes|o__Kriegeriales	0.14188
k__Fungi|p__Ascomycota|c__Lecanoromycetes|o__Lecanorales	0.06879
k__Fungi|p__Basidiomycota|c__Microbotryomycetes|o__Leucosporidiales	0.00645
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Lulworthiales	0.03224
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Magnaporthales	1.85301
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales	0.45573
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Microascales	0.20852
k__Fungi|p__Basidiomycota|c__Microbotryomycetes|o__Microbotryales	0.07739
k__Fungi|p__Mucoromycota|c__Mortierellomycetes|o__Mortierellales	0.11393
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales	1.05763
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales	1.48541
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Myriangiales	0.02795
k__Fungi|p__Chytridiomycota|c__Neocallimastigomycetes|o__Neocallimastigales	1.21456
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales	1.15007
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Ophiostomatales	0.25581
k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales	0.47937
k__Fungi|p__Ascomycota|c__Lecanoromycetes|o__Peltigerales	0.06879
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales	0.43423
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Phaeomoniellales	0.0086
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Phallales	0.01935
k__Fungi|p__Blastocladiomycota|c__Physodermatomycetes|o__Physodermatales	0.04944
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales	2.03573
k__Fungi|p__Ascomycota|c__Pneumocystidomycetes|o__Pneumocystidales	0.14403
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales	4.03061
k__Fungi|p__Basidiomycota|c__Pucciniomycetes|o__Pucciniales	3.73396
k__Fungi|p__Chytridiomycota|c__Chytridiomycetes|o__Rhizophydiales	0.15478
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Rhytismatales	0.0086
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Russulales	0.37404
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales	21.40201
k__Fungi|p__Ascomycota|c__Schizosaccharomycetes|o__Schizosaccharomycetales	0.17627
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Sebacinales	0.05374
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales	8.33208
k__Fungi|p__Chytridiomycota|c__Chytridiomycetes|o__Spizellomycetales	0.0086
k__Fungi|p__Basidiomycota|c__Microbotryomycetes|o__Sporidiobolales	0.73518
k__Fungi|p__Chytridiomycota|c__Chytridiomycetes|o__Synchytriales	0.07309
k__Fungi|p__Ascomycota|c__Taphrinomycetes|o__Taphrinales	0.0129
k__Fungi|p__Ascomycota|c__Lecanoromycetes|o__Teloschistales	0.03869
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Thelephorales	0.00645
k__Fungi|p__Basidiomycota|c__Exobasidiomycetes|o__Tilletiales	0.02795
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Togniniales	0.07954
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Torpedosporales	0.03224
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales	6.23831
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Trichosporonales	0.15048
k__Fungi|p__Mucoromycota|c__Umbelopsidomycetes|o__Umbelopsidales	0.02795
k__Fungi|p__Basidiomycota|c__Ustilaginomycetes|o__Urocystidales	0.02365
k__Fungi|p__Basidiomycota|c__Ustilaginomycetes|o__Ustilaginales	0.56536
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Venturiales	0.29665
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Xylariales	0.33965
k__Fungi|p__Ascomycota|c__Xylonomycetes|o__Xylonales	0.0043
k__Fungi|p__Zoopagomycota|c__Zoopagomycetes|o__Zoopagales	0.01075
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Agaricaceae	0.43208
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Ajellomycetaceae	0.35899
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Jahnulales|f__Aliquandostipitaceae	0.0043
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Amanitaceae	0.08384
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Amorphothecaceae	0.13758
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__<not present>|f__Amplistromataceae	0.0043
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Amylocorticiales|f__Amylocorticiaceae	0.07739
k__Fungi|p__Zoopagomycota|c__Entomophthoromycetes|o__Entomophthorales|f__Ancylistaceae	0.01935
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Xylariales|f__Apiosporaceae	0.02795
k__Fungi|p__Ascomycota|c__Archaeorhizomycetes|o__Archaeorhizomycetales|f__Archaeorhizomycetaceae	0.0086
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Arthrodermataceae	0.47937
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Ascodesmidaceae	0.01935
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Ascosphaeraceae	0.04944
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Eurotiales|f__Aspergillaceae	12.2724
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Atheliales|f__Atheliaceae	0.06879
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Auriculariales|f__Auriculariaceae	0.08384
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Russulales|f__Auriscalpiaceae	0.00645
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Bambusicolaceae	0.01935
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Bionectriaceae	0.35039
k__Fungi|p__Blastocladiomycota|c__Blastocladiomycetes|o__Blastocladiales|f__Blastocladiaceae	0.01505
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Bolbitiaceae	0.03869
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Boletales|f__Boletaceae	0.02795
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Boletales|f__Boletinellaceae	0.03869
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Russulales|f__Bondarzewiaceae	0.16122
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Botryosphaeriales|f__Botryosphaeriaceae	0.50947
k__Fungi|p__Basidiomycota|c__Exobasidiomycetes|o__Exobasidiales|f__Brachybasidiaceae	0.01505
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales|f__Bulleribasidiaceae	0.00645
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Callistosporiaceae	0.01075
k__Fungi|p__Basidiomycota|c__Microbotryomycetes|o__Kriegeriales|f__Camptobasidiaceae	0.13758
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Cephaloascaceae	0.0043
k__Fungi|p__Basidiomycota|c__Exobasidiomycetes|o__Ceraceosorales|f__Ceraceosoraceae	0.0043
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Cantharellales|f__Ceratobasidiaceae	0.57611
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Microascales|f__Ceratocystidaceae	0.10963
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Coronophorales|f__Ceratostomataceae	0.07739
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Cerrenaceae	0.05804
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Chaetomiaceae	0.48582
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Chaetosphaeriales|f__Chaetosphaeriaceae	0.0043
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Choanephoraceae	0.05374
k__Fungi|p__Chytridiomycota|c__Chytridiomycetes|o__Chytridiales|f__Chytriomycetaceae	0.03654
k__Fungi|p__Ascomycota|c__Lecanoromycetes|o__Lecanorales|f__Cladoniaceae	0.00645
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Cladosporiales|f__Cladosporiaceae	0.0258
k__Fungi|p__Mucoromycota|c__Glomeromycetes|o__Glomerales|f__Claroideoglomeraceae	0.02795
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Clavariaceae	0.0086
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Clavicipitaceae	1.03829
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Clitocybaceae	0.03654
k__Fungi|p__Basidiomycota|c__Pucciniomycetes|o__Pucciniales|f__Coleosporiaceae	0.01935
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Coniochaetales|f__Coniochaetaceae	0.03224
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Boletales|f__Coniophoraceae	0.01505
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Coniothyriaceae	0.0086
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Cordycipitaceae	0.99314
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Corticiales|f__Corticiaceae	0.0086
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Cortinariaceae	0.0129
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Corynesporascaceae	0.0129
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Crepidotaceae	0.0043
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Diaporthales|f__Cryphonectriaceae	0.08814
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales|f__Cryptococcaceae	6.15447
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Cucurbitariaceae	0.00645
k__Fungi|p__Microsporidia|c__<not present>|o__<not present>|f__Culicosporidae	0.23646
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales|f__Cuniculitremaceae	0.0043
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Cunninghamellaceae	0.05159
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Cyphellaceae	0.0043
k__Fungi|p__Basidiomycota|c__Dacrymycetes|o__Dacrymycetales|f__Dacrymycetaceae	0.0043
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Debaryomycetaceae	9.83254
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Diaporthales|f__Diaporthaceae	0.05374
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymellaceae	0.19562
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Didymosphaeriaceae	0.04729
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Dipodascaceae	0.9265
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Dissoconiaceae	0.0129
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Dothideales|f__Dothioraceae	0.0043
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Drepanopezizaceae	0.06664
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Myriangiales|f__Elsinoaceae	0.02795
k__Fungi|p__Mucoromycota|c__Endogonomycetes|o__Endogonales|f__Endogonaceae	0.00645
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Entolomataceae	0.06449
k__Fungi|p__Zoopagomycota|c__Entomophthoromycetes|o__Entomophthorales|f__Entomophthoraceae	0.05159
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Erysiphales|f__Erysiphaceae	1.8831
k__Fungi|p__Basidiomycota|c__Exobasidiomycetes|o__Exobasidiales|f__Exobasidiaceae	0.0043
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Fibroporiaceae	0.01505
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Filobasidiales|f__Filobasidiaceae	0.01505
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Fomitopsidaceae	0.0301
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Gelatoporiaceae	0.06449
k__Fungi|p__Basidiomycota|c__Geminibasidiomycetes|o__Geminibasidiales|f__Geminibasidiaceae	0.0043
k__Fungi|p__Mucoromycota|c__Glomeromycetes|o__Archaeosporales|f__Geosiphonaceae	0.00645
k__Fungi|p__Mucoromycota|c__Glomeromycetes|o__Diversisporales|f__Gigasporaceae	0.08169
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Gloeophyllales|f__Gloeophyllaceae	0.08384
k__Fungi|p__Mucoromycota|c__Glomeromycetes|o__Glomerales|f__Glomeraceae	0.82977
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Glomerellales|f__Glomerellaceae	1.2339
k__Fungi|p__Basidiomycota|c__Ustilaginomycetes|o__Urocystidales|f__Glomosporiaceae	0.01935
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__<not present>|f__Gloniaceae	0.31815
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Godroniaceae	0.0043
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Grifolaceae	0.03869
k__Fungi|p__Basidiomycota|c__Pucciniomycetes|o__Pucciniales|f__Gymnosporangiaceae	0.04514
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Microascales|f__Halosphaeriaceae	0.03654
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Helotiaceae	0.03439
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Russulales|f__Hericiaceae	0.08169
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Chaetothyriales|f__Herpotrichiellaceae	0.27516
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Hyaloscyphaceae	0.0215
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Hydnangiaceae	0.48367
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Hygrophoraceae	0.0172
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Hymenochaetales|f__Hymenochaetaceae	0.17627
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Hymenogastraceae	0.10533
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Hypocreaceae	2.77951
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Xylariales|f__Hyponectriaceae	0.0129
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Xylariales|f__Hypoxylaceae	0.06879
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Irpicaceae	0.08169
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Jaapiales|f__Jaapiaceae	0.0129
k__Fungi|p__Zoopagomycota|c__Kickxellomycetes|o__Kickxellales|f__Kickxellaceae	0.0086
k__Fungi|p__Basidiomycota|c__Microbotryomycetes|o__Kriegeriales|f__Kriegeriaceae	0.0043
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Laetiporaceae	0.01505
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Lasiosphaeriaceae	0.0129
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Lentamycetaceae	0.0043
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Leptosphaeriaceae	0.27946
k__Fungi|p__Basidiomycota|c__Microbotryomycetes|o__Leucosporidiales|f__Leucosporidiaceae	0.00645
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Lichtheimiaceae	0.11393
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Lipomycetaceae	0.05374
k__Fungi|p__Ascomycota|c__Lecanoromycetes|o__Peltigerales|f__Lobariaceae	0.06019
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Lulworthiales|f__Lulworthiaceae	0.03224
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Lyophyllaceae	0.10963
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Magnaporthales|f__Magnaporthaceae	0.13113
k__Fungi|p__Basidiomycota|c__Malasseziomycetes|o__Malasseziales|f__Malasseziaceae	0.45573
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Malbrancheaceae	0.07739
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Marasmiaceae	0.01505
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Massarinaceae	0.0043
k__Fungi|p__Basidiomycota|c__Pucciniomycetes|o__Pucciniales|f__Melampsoraceae	0.06664
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Meripilaceae	0.02795
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Meruliaceae	0.06664
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Metschnikowiaceae	0.88351
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Microascales|f__Microascaceae	0.06019
k__Fungi|p__Basidiomycota|c__Microbotryomycetes|o__Microbotryales|f__Microbotryaceae	0.07739
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Xylariales|f__Microdochiaceae	0.0258
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__Helotiales|f__Mollisiaceae	0.08169
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Morchellaceae	0.18487
k__Fungi|p__Mucoromycota|c__Mortierellomycetes|o__Mortierellales|f__Mortierellaceae	0.11393
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Cystofilobasidiales|f__Mrakiaceae	0.20852
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Mucoraceae	0.20852
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Mycenaceae	0.14403
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Mycosphaerellales|f__Mycosphaerellaceae	1.41878
k__Fungi|p__Mucoromycota|c__Mucoromycetes|o__Mucorales|f__Mycotyphaceae	0.0043
k__Fungi|p__Ascomycota|c__Leotiomycetes|o__<not present>|f__Myxotrichaceae	0.06234
k__Fungi|p__Basidiomycota|c__Tremellomycetes|o__Tremellales|f__Naemateliaceae	0.0086
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Nectriaceae	4.98076
k__Fungi|p__Chytridiomycota|c__Neocallimastigomycetes|o__Neocallimastigales|f__Neocallimastigaceae	1.21456
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Nidulariaceae	0.01075
k__Fungi|p__Microsporidia|c__<not present>|o__<not present>|f__Nosematidae	0.28376
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Agaricales|f__Omphalotaceae	1.00174
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Onygenales|f__Onygenaceae	0.11823
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Magnaporthales|f__Ophioceraceae	0.0172
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Hypocreales|f__Ophiocordycipitaceae	0.40199
k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Ophiostomatales|f__Ophiostomataceae	0.25581
k__Fungi|p__Ascomycota|c__Orbiliomycetes|o__Orbiliales|f__Orbiliaceae	0.47937
k__Fungi|p__Ascomycota|c__Lecanoromycetes|o__Lecanorales|f__Parmeliaceae	0.06019
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Boletales|f__Paxillaceae	0.08169
k__Fungi|p__Ascomycota|c__Lecanoromycetes|o__Peltigerales|f__Peltigeraceae	0.0086
k__Fungi|p__Ascomycota|c__Pezizomycetes|o__Pezizales|f__Pezizaceae	0.04729
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Polyporales|f__Phaeolaceae	0.06234
k__Fungi|p__Ascomycota|c__Eurotiomycetes|o__Phaeomoniellales|f__Phaeomoniellaceae	0.0086
k__Fungi|p__Ascomycota|c__Dothideomycetes|o__Pleosporales|f__Phaeosphaeriaceae	0.0301
k__Fungi|p__Ascomycota|c__Saccharomycetes|o__Saccharomycetales|f__Phaffomycetaceae	1.67029
k__Fungi|p__Basidiomycota|c__Pucciniomycetes|o__Pucciniales|f__Phakopsoraceae	0.48797
k__Fungi|p__Basidiomycota|c__Agaricomycetes|o__Phallales|f__Phallaceae	0.0172
